provider,principal_ref,email,last_activity
gcp,user:noura.almarri@gov.ae,noura.almarri@gov.ae,2026-08-12
aws,arn:aws:iam::111122223333:user/khalid.johnson,khalid.johnson@gov.ae,2026-08-24
aws,arn:aws:iam::111122223333:user/mariam.khan,mariam.khan@gov.ae,2026-08-03
gcp,user:mariam.khan@gov.ae,mariam.khan@gov.ae,2026-08-03
aws,arn:aws:iam::111122223333:user/hamdan.chen,hamdan.chen@gov.ae,2026-07-10
azure,hamdan.chen@gov.ae,hamdan.chen@gov.ae,2026-07-10
gcp,user:hamdan.chen@gov.ae,hamdan.chen@gov.ae,2026-07-10
azure,amal.kumar@gov.ae,amal.kumar@gov.ae,2026-07-07
gcp,user:amal.kumar@gov.ae,amal.kumar@gov.ae,2026-07-07
aws,arn:aws:iam::111122223333:user/shaikha.rahman,shaikha.rahman@gov.ae,2026-07-08
azure,shaikha.rahman@gov.ae,shaikha.rahman@gov.ae,2026-07-08
aws,arn:aws:iam::111122223333:user/mariam.ibrahim,mariam.ibrahim@gov.ae,2026-04-28
gcp,user:mariam.ibrahim@gov.ae,mariam.ibrahim@gov.ae,2026-04-28
aws,arn:aws:iam::111122223333:user/majid.kumar,majid.kumar@gov.ae,2026-09-07
gcp,user:majid.kumar@gov.ae,majid.kumar@gov.ae,2026-09-07
aws,arn:aws:iam::111122223333:user/zayed.al.suwaidi,zayed.alsuwaidi@gov.ae,2026-04-17
azure,zayed.alsuwaidi@gov.ae,zayed.alsuwaidi@gov.ae,2026-04-17
gcp,user:zayed.alsuwaidi@gov.ae,zayed.alsuwaidi@gov.ae,2026-04-17
aws,arn:aws:iam::111122223333:user/maha.zaman,maha.zaman@gov.ae,2026-09-04
gcp,user:maha.zaman@gov.ae,maha.zaman@gov.ae,2026-09-04
aws,arn:aws:iam::111122223333:user/tariq.patel,tariq.patel@gov.ae,2026-07-28
azure,tariq.patel@gov.ae,tariq.patel@gov.ae,2026-07-28
aws,arn:aws:iam::111122223333:user/khalid.ibrahim,khalid.ibrahim@gov.ae,2026-04-13
azure,khalid.ibrahim@gov.ae,khalid.ibrahim@gov.ae,2026-04-13
gcp,user:khalid.ibrahim@gov.ae,khalid.ibrahim@gov.ae,2026-04-13
azure,maha.farah@gov.ae,maha.farah@gov.ae,2026-08-22
gcp,user:maha.farah@gov.ae,maha.farah@gov.ae,2026-08-22
gcp,user:yousef.qureshi@gov.ae,yousef.qureshi@gov.ae,2026-07-29
aws,arn:aws:iam::111122223333:user/wafa.ibrahim,wafa.ibrahim@gov.ae,2026-07-22
azure,wafa.ibrahim@gov.ae,wafa.ibrahim@gov.ae,2026-07-22
gcp,user:wafa.ibrahim@gov.ae,wafa.ibrahim@gov.ae,2026-07-22
azure,olivia.sharma@gov.ae,olivia.sharma@gov.ae,2026-08-20
gcp,user:olivia.sharma@gov.ae,olivia.sharma@gov.ae,2026-08-20
aws,arn:aws:iam::111122223333:user/omar.kumar,omar.kumar@gov.ae,2026-04-19
azure,omar.kumar@gov.ae,omar.kumar@gov.ae,2026-04-19
azure,arun.chen@gov.ae,arun.chen@gov.ae,2026-02-20
gcp,user:arun.chen@gov.ae,arun.chen@gov.ae,2026-02-20
azure,wafa.almansoori@gov.ae,wafa.almansoori@gov.ae,2026-04-24
aws,arn:aws:iam::111122223333:user/majid.wang,majid.wang@gov.ae,2026-07-07
azure,majid.wang@gov.ae,majid.wang@gov.ae,2026-07-07
gcp,user:majid.wang@gov.ae,majid.wang@gov.ae,2026-07-07
aws,arn:aws:iam::111122223333:user/maha.sharma,maha.sharma@gov.ae,2026-08-14
azure,maha.sharma@gov.ae,maha.sharma@gov.ae,2026-08-14
gcp,user:maha.sharma@gov.ae,maha.sharma@gov.ae,2026-08-14
aws,arn:aws:iam::111122223333:user/aisha.silva,aisha.silva@gov.ae,2026-08-13
azure,aisha.silva@gov.ae,aisha.silva@gov.ae,2026-08-13
gcp,user:aisha.silva@gov.ae,aisha.silva@gov.ae,2026-08-13
azure,shaikha.qureshi@gov.ae,shaikha.qureshi@gov.ae,2026-01-03
gcp,user:shaikha.qureshi@gov.ae,shaikha.qureshi@gov.ae,2026-01-03
aws,arn:aws:iam::111122223333:user/emma.haddad,emma.haddad@gov.ae,2026-09-03
azure,emma.haddad@gov.ae,emma.haddad@gov.ae,2026-09-03
gcp,user:emma.haddad@gov.ae,emma.haddad@gov.ae,2026-09-03
aws,arn:aws:iam::111122223333:user/noura.johnson,noura.johnson@gov.ae,2026-07-11
azure,noura.johnson@gov.ae,noura.johnson@gov.ae,2026-07-11
gcp,user:noura.johnson@gov.ae,noura.johnson@gov.ae,2026-07-11
azure,noura.nassar@gov.ae,noura.nassar@gov.ae,2026-07-04
aws,arn:aws:iam::111122223333:user/majid.aziz,majid.aziz@gov.ae,2026-08-25
azure,majid.aziz@gov.ae,majid.aziz@gov.ae,2026-08-25
gcp,user:majid.aziz@gov.ae,majid.aziz@gov.ae,2026-08-25
aws,arn:aws:iam::111122223333:user/huda.costa,huda.costa@gov.ae,2025-12-30
azure,huda.costa@gov.ae,huda.costa@gov.ae,2025-12-30
aws,arn:aws:iam::111122223333:user/rashid.habib,rashid.habib@gov.ae,2026-07-12
azure,rashid.habib@gov.ae,rashid.habib@gov.ae,2026-07-12
gcp,user:rashid.habib@gov.ae,rashid.habib@gov.ae,2026-07-12
azure,sofia.almarri@gov.ae,sofia.almarri@gov.ae,2025-12-15
gcp,user:sofia.almarri@gov.ae,sofia.almarri@gov.ae,2025-12-15
aws,arn:aws:iam::111122223333:user/aisha.sharma,aisha.sharma@gov.ae,2026-07-05
azure,aisha.sharma@gov.ae,aisha.sharma@gov.ae,2026-07-05
aws,arn:aws:iam::111122223333:user/sofia.costa,sofia.costa@gov.ae,2026-06-21
azure,sofia.costa@gov.ae,sofia.costa@gov.ae,2026-06-21
azure,saeed.almansoori@gov.ae,saeed.almansoori@gov.ae,2026-07-14
aws,arn:aws:iam::111122223333:user/emma.silva,emma.silva@gov.ae,2026-07-02
azure,emma.silva@gov.ae,emma.silva@gov.ae,2026-07-02
aws,arn:aws:iam::111122223333:user/hamdan.chen,hamdan.chen2@gov.ae,2026-08-08
azure,hamdan.chen2@gov.ae,hamdan.chen2@gov.ae,2026-08-08
gcp,user:hamdan.chen2@gov.ae,hamdan.chen2@gov.ae,2026-08-08
aws,arn:aws:iam::111122223333:user/maha.osman,maha.osman@gov.ae,2026-04-14
azure,maha.osman@gov.ae,maha.osman@gov.ae,2026-04-14
gcp,user:maha.osman@gov.ae,maha.osman@gov.ae,2026-04-14
aws,arn:aws:iam::111122223333:user/yousef.rahman,yousef.rahman@gov.ae,2026-08-04
azure,yousef.rahman@gov.ae,yousef.rahman@gov.ae,2026-08-04
gcp,user:yousef.rahman@gov.ae,yousef.rahman@gov.ae,2026-08-04
aws,arn:aws:iam::111122223333:user/tariq.al.marri,tariq.almarri@gov.ae,2026-08-04
azure,tariq.almarri@gov.ae,tariq.almarri@gov.ae,2026-08-04
aws,arn:aws:iam::111122223333:user/yousef.al.nuaimi,yousef.alnuaimi@gov.ae,2026-07-07
azure,yousef.alnuaimi@gov.ae,yousef.alnuaimi@gov.ae,2026-07-07
gcp,user:yousef.alnuaimi@gov.ae,yousef.alnuaimi@gov.ae,2026-07-07
aws,arn:aws:iam::111122223333:user/sofia.khan,sofia.khan@gov.ae,2026-08-23
azure,sofia.khan@gov.ae,sofia.khan@gov.ae,2026-08-23
azure,james.sharma@gov.ae,james.sharma@gov.ae,2026-08-10
gcp,user:james.sharma@gov.ae,james.sharma@gov.ae,2026-08-10
aws,arn:aws:iam::111122223333:user/khalid.johnson,khalid.johnson2@gov.ae,2026-09-07
gcp,user:khalid.johnson2@gov.ae,khalid.johnson2@gov.ae,2026-09-07
aws,arn:aws:iam::111122223333:user/aisha.johnson,aisha.johnson@gov.ae,2026-08-26
azure,aisha.johnson@gov.ae,aisha.johnson@gov.ae,2026-08-26
aws,arn:aws:iam::111122223333:user/hamdan.khan,hamdan.khan@gov.ae,2026-08-12
azure,hamdan.khan@gov.ae,hamdan.khan@gov.ae,2026-08-12
gcp,user:hamdan.khan@gov.ae,hamdan.khan@gov.ae,2026-08-12
azure,amal.osman@gov.ae,amal.osman@gov.ae,2026-08-08
gcp,user:olivia.alhashimi@gov.ae,olivia.alhashimi@gov.ae,2026-07-20
aws,arn:aws:iam::111122223333:user/ahmad.al.suwaidi,ahmad.alsuwaidi@gov.ae,2026-08-30
azure,ahmad.alsuwaidi@gov.ae,ahmad.alsuwaidi@gov.ae,2026-08-30
gcp,user:ahmad.alsuwaidi@gov.ae,ahmad.alsuwaidi@gov.ae,2026-08-30
aws,arn:aws:iam::111122223333:user/salma.silva,salma.silva@gov.ae,2026-07-20
azure,ahmad.ibrahim@gov.ae,ahmad.ibrahim@gov.ae,2026-01-19
gcp,user:ahmad.ibrahim@gov.ae,ahmad.ibrahim@gov.ae,2026-01-19
aws,arn:aws:iam::111122223333:user/shaikha.chen,shaikha.chen@gov.ae,2026-08-31
azure,shaikha.chen@gov.ae,shaikha.chen@gov.ae,2026-08-31
gcp,user:shaikha.chen@gov.ae,shaikha.chen@gov.ae,2026-08-31
aws,arn:aws:iam::111122223333:user/hamdan.nassar,hamdan.nassar@gov.ae,2026-05-01
gcp,user:hamdan.nassar@gov.ae,hamdan.nassar@gov.ae,2026-05-01
aws,arn:aws:iam::111122223333:user/noah.al.nuaimi,noah.alnuaimi@gov.ae,2026-08-06
azure,noah.alnuaimi@gov.ae,noah.alnuaimi@gov.ae,2026-08-06
aws,arn:aws:iam::111122223333:user/emma.al.balushi,emma.albalushi@gov.ae,2026-07-24
azure,emma.albalushi@gov.ae,emma.albalushi@gov.ae,2026-07-24
aws,arn:aws:iam::111122223333:user/layla.al.suwaidi,layla.alsuwaidi@gov.ae,2026-06-02
gcp,user:layla.alsuwaidi@gov.ae,layla.alsuwaidi@gov.ae,2026-06-02
aws,arn:aws:iam::111122223333:user/arun.sharma,arun.sharma@gov.ae,2026-07-30
azure,arun.sharma@gov.ae,arun.sharma@gov.ae,2026-07-30
gcp,user:arun.sharma@gov.ae,arun.sharma@gov.ae,2026-07-30
azure,bilal.johnson@gov.ae,bilal.johnson@gov.ae,2026-07-31
azure,salma.johnson@gov.ae,salma.johnson@gov.ae,2026-07-11
gcp,user:salma.johnson@gov.ae,salma.johnson@gov.ae,2026-07-11
aws,arn:aws:iam::111122223333:user/huda.osman,huda.osman@gov.ae,2026-09-08
gcp,user:huda.osman@gov.ae,huda.osman@gov.ae,2026-09-08
aws,arn:aws:iam::111122223333:user/wafa.qureshi,wafa.qureshi@gov.ae,2026-08-21
azure,wafa.qureshi@gov.ae,wafa.qureshi@gov.ae,2026-08-21
aws,arn:aws:iam::111122223333:user/salma.aziz,salma.aziz@gov.ae,2026-08-30
gcp,user:salma.aziz@gov.ae,salma.aziz@gov.ae,2026-08-30
azure,reem.farah@gov.ae,reem.farah@gov.ae,2026-07-29
aws,arn:aws:iam::111122223333:user/huda.qureshi,huda.qureshi@gov.ae,2026-02-16
azure,huda.qureshi@gov.ae,huda.qureshi@gov.ae,2026-02-16
gcp,user:huda.qureshi@gov.ae,huda.qureshi@gov.ae,2026-02-16
aws,arn:aws:iam::111122223333:user/khalid.al.mansoori,khalid.almansoori@gov.ae,2026-07-11
azure,khalid.almansoori@gov.ae,khalid.almansoori@gov.ae,2026-07-11
aws,arn:aws:iam::111122223333:user/olivia.al.mansoori,olivia.almansoori@gov.ae,2026-09-02
azure,olivia.almansoori@gov.ae,olivia.almansoori@gov.ae,2026-09-02
aws,arn:aws:iam::111122223333:user/dana.khan,dana.khan@gov.ae,2026-05-21
gcp,user:aisha.alsuwaidi@gov.ae,aisha.alsuwaidi@gov.ae,2026-08-29
aws,arn:aws:iam::111122223333:user/dana.patel,dana.patel@gov.ae,2026-07-28
azure,dana.patel@gov.ae,dana.patel@gov.ae,2026-07-28
gcp,user:dana.patel@gov.ae,dana.patel@gov.ae,2026-07-28
aws,arn:aws:iam::111122223333:user/adel.habib,adel.habib@gov.ae,2026-08-04
azure,adel.habib@gov.ae,adel.habib@gov.ae,2026-08-04
aws,arn:aws:iam::111122223333:user/hana.habib,hana.habib@gov.ae,2026-07-17
azure,hana.habib@gov.ae,hana.habib@gov.ae,2026-07-17
gcp,user:hana.habib@gov.ae,hana.habib@gov.ae,2026-07-17
aws,arn:aws:iam::111122223333:user/hana.saleh,hana.saleh@gov.ae,2026-08-11
azure,salma.johnson2@gov.ae,salma.johnson2@gov.ae,2026-06-26
gcp,user:salma.johnson2@gov.ae,salma.johnson2@gov.ae,2026-06-26
aws,arn:aws:iam::111122223333:user/olivia.silva,olivia.silva@gov.ae,2026-07-21
